game_id,format,player_id,player_rating,opening_name,book_moves,turns,result,rating_difference
zALflmF8,Rapid,rustam9,1115,Queen's Pawn Game: Chigorin Variation,4,44,Lost,-108
F8euV2Zp,Rapid,rustam9,1190,Queen's Pawn Game: Chigorin Variation,4,20,Lost,-23
VC0euQZC,Rapid,sergeares,1337,King's Knight Opening,3,41,Won,0
F0rtsvLh,Rapid,rustam9,1500,Scandinavian Defense,2,40,Lost,0
vI6soB0y,Classical,olaih85,1500,Philidor Defense: Exchange Variation #2,7,27,Won,-71
RHqtUgcA,Rapid,spikyturtle,1367,Van't Kruijs Opening,1,59,Lost,-499
pCdIqYQn,Rapid,lodowy,1590,Owen Defense,2,19,Won,217
7DyaFpEQ,Rapid,spikyturtle,1377,Hungarian Opening,1,50,Lost,-290
gDy9stbN,Rapid,master22ar,1558,Ruy Lopez: Closed Variations |  Rosen Attack,15,34,Lost,200
4C9wlcMh,Blitz,rfabian,1476,Owen Defense,2,15,Won,109
J2JnXESd,Blitz,spikyturtle,1376,Van't Kruijs Opening,1,52,Lost,-93
fYXWmMQo,Blitz,rfabian,1460,Owen Defense,2,65,Won,74
0izXEQL0,Rapid,spikyturtle,1372,Philidor Defense #3,5,67,Won,-36
C7ZN9Vt6,Blitz,spikyturtle,1373,Sicilian Defense: French Variation,4,31,Lost,-775
PDmTWzdY,Blitz,pllm,1382,French Defense: Exchange Variation,5,125,Won,-32
l33LvAGO,Rapid,ahmedham,1320,French Defense: Knight Variation,3,76,Lost,-80
VVMmBXVj,Rapid,jutton1,1383,Torre Attack #2,3,121,Won,53
nrOeTNGE,Rapid,agabek1948,1469,French Defense: Advance Variation |  Paulsen Attack,9,116,Lost,112
9GK7Wbwa,Rapid,cagliostro97,1588,Italian Game: Giuoco Pianissimo |  Normal,8,110,Draw,-103
RQKVDRu3,Rapid,cagliostro97,1541,Sicilian Defense: Accelerated Dragon |  Modern Variation,9,67,Won,-45
gzD3S9qf,Classical,cagliostro97,1517,Elephant Gambit,4,17,Won,197
aqIy0Ek9,Classical,putin55,1569,Nimzo-Larsen Attack: Classical Variation,2,39,Won,0
F9LhXEvk,Classical,qc-patzer,1563,French Defense: Tarrasch Variation,5,94,Lost,65
scqVJjj2,Rapid,robbm,1903,Nimzo-Indian Defense: Ragozin Variation,8,37,Won,391
BoBZJpRS,Classical,andrea78,1612,Caro-Kann Defense: Exchange Variation,5,37,Won,162
XLvG0Fxw,Rapid,mahdifoladi,1462,Global Opening,3,51,Won,-2
kI6eU49k,Rapid,energique,1450,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,6,79,Won,-36
wbR4KA2i,Rapid,energique,1439,King's Gambit Accepted |  Bishop's Gambit,5,83,Won,21
