id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
ArLwGrwo,Rapid,mate,6,Vienna Game: Stanley Variation |  Reversed Spanish,black,84,ismet54,1873,sugarmike,1970
Tdf3r4re,Rapid,resign,2,Zukertort Opening: Queenside Fianchetto Variation,black,144,sugarmike,1987,bolivonv,1797
KYFMAOG1,Rapid,mate,4,Robatsch (Modern) Defense,black,58,eryximaque,1670,sugarmike,1984
q6esEwCt,Rapid,mate,9,Russian Game: French Attack,black,68,hade23,1880,sugarmike,1975
Ss8lXfOU,Rapid,mate,2,Zukertort Opening: Pirc Invitation,white,61,sugarmike,1968,docseth,1809
aEwG9ol6,Rapid,mate,13,English Opening: Symmetrical Variation |  Mecking Variation,white,49,sugarmike,1956,corazzata_potemkin,1992
FyXlOSqt,Rapid,resign,4,King's Indian Attack,white,48,sugarmike,1951,hansluch4iy,1718
GsWHFkHG,Rapid,resign,4,Queen's Pawn Game: Chigorin Variation,white,73,sugarmike,1942,evolutionrus,1845
89lNvpal,Rapid,resign,8,Pirc Defense: Classical Variation,black,104,evolutionrus,1853,sugarmike,1933
kFXydBTn,Rapid,resign,3,King's Indian Attack,white,19,sugarmike,1923,evolutionrus,1862
nrWHt8Ox,Rapid,resign,3,King's Indian Attack,white,33,sugarmike,1915,karstos,1794
eynT1vI3,Rapid,outoftime,3,Indian Game: Omega Gambit,black,74,ogl1,1160,sugarmike,1915
kI4xtQ1v,Rapid,resign,5,Modern Defense: Bishop Attack,white,85,igor_araus,2098,sugarmike,1920
NrTG7OIq,Rapid,outoftime,2,Indian Game,black,114,vjhjpjd,1846,sugarmike,1910
BQzrUyXC,Rapid,resign,4,King's Indian Attack,white,13,sugarmike,1904,monomane,1752
r3uqvH3q,Rapid,resign,2,Zukertort Opening: Dutch Variation,white,59,sugarmike,1890,ihor2526,1959
g39jlzRS,Rapid,resign,4,King's Indian Attack: Symmetrical Defense,white,33,sugarmike,1895,paradox77,1760
FU2yJlbH,Rapid,resign,5,Alekhine Defense: Two Pawn Attack,black,30,faylors23,1719,sugarmike,1907
epDJml2O,Rapid,resign,3,English Opening: Agincourt Defense #3,white,30,sugarmike,1900,faylors23,1725
epjI81bW,Rapid,resign,4,Queen's Pawn Game: Chigorin Variation,white,69,sugarmike,1890,branebrane,1846
On1ePRj0,Rapid,outoftime,5,Modern Defense: Bishop Attack,black,110,branebrane,1856,sugarmike,1878
tBsERPtk,Rapid,outoftime,5,Indian Game: London System,black,86,giubecc,1746,sugarmike,1870
edb41uXz,Classical,mate,2,English Opening: King's English Variation,black,40,kingofkings,1121,chipper,1355
I8TGAb9J,Rapid,mate,4,King's Pawn Game: Damiano Defense,white,29,razvan345,1208,kingofkings,1500
KibthMFu,Rapid,mate,2,Mikenas Defense,black,64,dogeatdog,1383,brain5,1226
pILhOjVt,Blitz,mate,3,King's Pawn Game: Wayward Queen Attack,white,57,erickkoa2,1339,brain5,1500
3YOPY59n,Rapid,resign,4,King's Pawn Game: Beyer Gambit,black,26,denizasil,1290,kraloyun,975
X7GnnhZs,Rapid,draw,1,Gedult's Opening,draw,11,kraloyun,950,denizasil,1297
XnXsJphk,Classical,mate,3,Queen's Pawn Game: Mason Attack,white,21,serse72,1794,kraloyun,951
OkDPJlSk,Classical,mate,1,Van't Kruijs Opening,black,52,kraloyun,951,serse72,1793
4obGJ5ua,Classical,resign,2,Queen's Pawn Game,white,16,hawk2016,1496,kraloyun,954
oATUlHPw,Blitz,resign,3,French Defense: Steinitz Attack,white,23,joshchess,1488,kraloyun,957
ZeqBvl9X,Rapid,resign,3,French Defense: Normal Variation,white,3,tobinn,1146,kraloyun,996
GMWOlwjP,Classical,mate,1,Nimzo-Larsen Attack,black,50,kraloyun,992,sasila,1318
6jb5UrhU,Rapid,resign,6,King's Gambit Accepted |  MacLeod Defense,white,63,xcyrusx,1434,kraloyun,1041
2zi8LCvT,Blitz,resign,4,Bishop's Opening: Boi Variation,white,26,papagallo,1659,kraloyun,1044
aqdLVAXc,Blitz,mate,5,Philidor Defense,white,53,kimr,1518,kraloyun,1050
PZPpAFHN,Blitz,resign,1,Van't Kruijs Opening,black,61,kraloyun,1068,panda1413,1304
VMQkR3dG,Blitz,resign,5,Russian Game: Three Knights Game,white,19,panda1413,1298,kraloyun,1092
iKcK7JwN,Blitz,resign,1,Mieses Opening,black,68,kraloyun,1133,julioitriago,1218
pvqC7PDx,Blitz,resign,1,Queen's Pawn,white,15,mark-ko,1216,kraloyun,1191
nncLLMgN,Rapid,mate,9,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,white,29,nikolic,1777,kraloyun,1197
SayF8QDM,Blitz,resign,2,King's Pawn Game,black,2,superozgur,1500,ozguragarr,1246
biu5M0Md,Classical,resign,4,Scandinavian Defense: Mieses-Kotroc Variation,black,12,michalfa,895,ro_man_20_04,1164
W7p9z8nj,Rapid,resign,3,Portuguese Opening,black,36,michalfa,871,roja,1006
I901F4wL,Blitz,resign,2,French Defense #2,black,19,michalfa,957,patzerson,1058
vZ2kSxbH,Rapid,mate,3,King's Pawn Game: Leonardis Variation,white,57,ecureuil57,1334,michalfa,880
O2466uHy,Blitz,resign,3,Sicilian Defense: Kronberger Variation,black,3,amazingdiamonds1,1392,chessfantom,1914
oQ8PWrpn,Rapid,mate,4,Queen's Pawn Game: Chigorin Variation,black,68,amazingdiamonds1,1500,plovediv_69,1669
isyha2pF,Rapid,resign,3,Queen's Pawn Game: Levitsky Attack,white,51,bojana92kw,1761,ozguragarr,1515
so9PhVjm,Rapid,resign,3,Center Game #2,white,33,ozguragarr,1499,jhp1020,1268
5ADPV0bp,Rapid,resign,4,St. George Defense,white,87,ozguragarr,1491,jaro1966,1367
vrxwNLbY,Rapid,outoftime,5,Sicilian Defense: Smith-Morra Gambit,black,42,ozguragarr,1502,ntutov,1736
UxN88evQ,Rapid,mate,4,King's Pawn Game: Beyer Gambit,white,83,ozguragarr,1495,frodo_passos,1342
t2q2KJfX,Rapid,outoftime,9,Danish Gambit Accepted,white,45,ozguragarr,1504,limongillerdengelen,1585
jWjMOGII,Rapid,resign,5,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,white,47,ozguragarr,1502,jammy,1128
3cmhYkkQ,Rapid,mate,2,Owen Defense,black,34,ozguragarr,1497,kriss,1521
FC9OLF88,Rapid,outoftime,5,Sicilian Defense: Smith-Morra Gambit,black,108,ozguragarr,1504,ray8,1606
JBxNjmPs,Rapid,resign,5,Danish Gambit,black,70,ozguragarr,1508,aleks22,1796
qKqBZ5E4,Rapid,resign,5,Danish Gambit,white,49,ozguragarr,1496,josevascon,1507
HhVEj5S5,Rapid,resign,3,Center Game #2,black,68,ozguragarr,1507,kukoevarsenic,1532
5wT8ZwZV,Rapid,mate,9,Danish Gambit Accepted,white,35,ozguragarr,1488,gr1609,1698
5H6tnAdj,Rapid,outoftime,3,Center Game #2,white,61,ozguragarr,1479,juozaskaz,1398
MewPEHUR,Rapid,resign,3,French Defense: Normal Variation,white,64,ozguragarr,1475,ztony,1165
LYihrNPs,Rapid,resign,3,Center Game #2,white,28,ozguragarr,1469,javad24,1273
